SubmissionId,SubmissionDateOnly,SubmissionTimeOnly,UserId,DistrictName,UpazilaName,ItemsToChoose,PurchaseUnit,Price
6b7483a2-25c7-4fa9-864e-4b5545bb1783,30/11/2024,23:32:19,173dcb872759ee4b05745b23a2e7ae34,Dhaka,Adabor,Rice,1 kg,67
6b7483a2-25c7-4fa9-864e-4b5545bb1783,30/11/2024,23:32:19,173dcb872759ee4b05745b23a2e7ae34,Dhaka,Adabor,Soybean Oil,1L,167
0e3b61f1-8e21-4f05-aea0-b7226a0946e6,30/11/2024,23:48:36,173dcb872759ee4b05745b23a2e7ae34,Dhaka,Dhanmondi,Rice,1 kg,66
0e3b61f1-8e21-4f05-aea0-b7226a0946e6,30/11/2024,23:48:36,173dcb872759ee4b05745b23a2e7ae34,Dhaka,Dhanmondi,Soybean Oil,1L,167
8d07e7ca-e22f-44be-b5c6-3eb9a8ec71c1,1/12/2024,4:32:29,0859ee7098b0fcd674aeb822126f986a,Dhaka,Badda,Rice,1 kg,72
8d07e7ca-e22f-44be-b5c6-3eb9a8ec71c1,1/12/2024,4:32:29,0859ee7098b0fcd674aeb822126f986a,Dhaka,Badda,Soybean Oil,1L,170
988acbef-9e63-4ab0-aea6-b3baa020c32f,2/12/2024,6:36:04,0c29694fadfcb564ebe238a66c3b99f8,Dhaka,Mohammadpur,Sugar,1 kg,185
988acbef-9e63-4ab0-aea6-b3baa020c32f,2/12/2024,6:36:04,0c29694fadfcb564ebe238a66c3b99f8,Dhaka,Mohammadpur,Green Chilli,1 kg,120
c66083e5-1cd2-4697-856b-31c3f1e3b00d,3/12/2024,16:25:33,fae74bc76cf6016774eb072b7ad97bb8,Dhaka,Pallabi,Rice,1 kg,72
c66083e5-1cd2-4697-856b-31c3f1e3b00d,3/12/2024,16:25:33,fae74bc76cf6016774eb072b7ad97bb8,Dhaka,Pallabi,Soybean Oil,1L,180
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Rice,1 kg,73
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Lentil,1 kg,155
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Flour,1 kg,60
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Soybean Oil,1L,167
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Salt,1 kg,42
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Eggs,1 Hali,50
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Potato,1 kg,70
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Onion,1 kg,120
228625d6-bc6c-4776-b20b-8ac43923c8d2,2/12/2024,12:06:00,24d4f26a0359322aa9de9b83d25d2875,Dhaka,Mohammadpur,Green Chilli,1 kg,100
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Rice,1 kg,75
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Flour,1 kg,74
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Lentil,1 kg,165
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Soybean Oil,1L,180
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Sugar,1 kg,125
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Salt,1 kg,35
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Eggs,1 Hali,50
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Chicken,1 kg,340
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Potato,1 kg,80
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Eggplant,1 kg,120
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Green Chilli,1 kg,75
d7ed0df1-13ae-4691-a3a5-55d0dafaffc8,13/12/2024,8:30:45,3c4da5d5300f1fadba9801b5e8828301,Dhaka,Mohammadpur,Onion,1 kg,100
70f25470-7afe-4eca-a9ac-0e4ed3bbecce,13/12/2024,10:25:14,def257dca811221bae96896a448afced,Naogaon,Mahadebpur,Rice,1 kg,80
70f25470-7afe-4eca-a9ac-0e4ed3bbecce,13/12/2024,10:25:14,def257dca811221bae96896a448afced,Naogaon,Mahadebpur,Soybean Oil,1L,190
70f25470-7afe-4eca-a9ac-0e4ed3bbecce,13/12/2024,10:25:14,def257dca811221bae96896a448afced,Naogaon,Mahadebpur,Salt,1 kg,60
96ac0237-9540-4781-b6a0-0e4f873d191b,13/12/2024,10:34:37,2121cd939eb18e4942dc891e4d49dd06,Naogaon,Dhamoirhat,Chicken,1 kg,165
b52f7f5c-4bde-44d5-a339-390139cc0b3d,13/12/2024,10:35:37,2121cd939eb18e4942dc891e4d49dd06,Naogaon,Dhamoirhat,Chicken,1 kg,290
802d4279-8756-4136-8623-64916901f86e,13/12/2024,12:46:24,12bc8f52864c56c3dfbd8905a123f20c,Rajshahi,Matihar,Flour,1 kg,56
71c3316e-9cfb-4e4c-bf4b-7de9c2acd876,13/12/2024,13:34:52,2121cd939eb18e4942dc891e4d49dd06,Rajshahi,Boalia,Rice,1 kg,85
71c3316e-9cfb-4e4c-bf4b-7de9c2acd876,13/12/2024,13:34:52,2121cd939eb18e4942dc891e4d49dd06,Rajshahi,Boalia,Flour,1 kg,48
71c3316e-9cfb-4e4c-bf4b-7de9c2acd876,13/12/2024,13:34:52,2121cd939eb18e4942dc891e4d49dd06,Rajshahi,Boalia,Lentil,1 kg,105
71c3316e-9cfb-4e4c-bf4b-7de9c2acd876,13/12/2024,13:34:52,2121cd939eb18e4942dc891e4d49dd06,Rajshahi,Boalia,Soybean Oil,1L,170
