"SubmissionId","UserId","Rice","Soybean Oil","Sugar","Green Chilli","Lentil","Flour","Salt","Eggs","Potato","Onion","Chicken","Eggplant"
"6b7483a2-25c7-4fa9-864e-4b5545bb1783","173dcb872759ee4b05745b23a2e7ae34",1,1,0,0,0,0,0,0,0,0,0,0
"0e3b61f1-8e21-4f05-aea0-b7226a0946e6","173dcb872759ee4b05745b23a2e7ae34",1,1,0,0,0,0,0,0,0,0,0,0
"8d07e7ca-e22f-44be-b5c6-3eb9a8ec71c1","0859ee7098b0fcd674aeb822126f986a",1,1,0,0,0,0,0,0,0,0,0,0
"988acbef-9e63-4ab0-aea6-b3baa020c32f","0c29694fadfcb564ebe238a66c3b99f8",0,0,1,1,0,0,0,0,0,0,0,0
"c66083e5-1cd2-4697-856b-31c3f1e3b00d","fae74bc76cf6016774eb072b7ad97bb8",1,1,0,0,0,0,0,0,0,0,0,0
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",1,1,0,1,1,1,1,1,1,1,0,0
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8","3c4da5d5300f1fadba9801b5e8828301",1,1,1,1,1,1,1,1,1,1,1,1
"70f25470-7afe-4eca-a9ac-0e4ed3bbecce","def257dca811221bae96896a448afced",1,1,0,0,0,0,1,0,0,0,0,0
"96ac0237-9540-4781-b6a0-0e4f873d191b","2121cd939eb18e4942dc891e4d49dd06",0,0,0,0,0,0,0,0,0,0,1,0
"b52f7f5c-4bde-44d5-a339-390139cc0b3d","2121cd939eb18e4942dc891e4d49dd06",0,0,0,0,0,0,0,0,0,0,1,0
"802d4279-8756-4136-8623-64916901f86e","12bc8f52864c56c3dfbd8905a123f20c",0,0,0,0,0,1,0,0,0,0,0,0
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876","2121cd939eb18e4942dc891e4d49dd06",1,1,1,1,1,1,1,1,1,1,1,1
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",1,0,0,0,1,1,1,1,1,1,1,1
"e6f9d9fe-bd80-45e6-8b70-a5f4a9c4eda9","2121cd939eb18e4942dc891e4d49dd06",1,0,0,0,1,0,0,0,1,1,0,0
"df67a8c1-667c-4dd5-85ee-cc7e9609a3f1","2121cd939eb18e4942dc891e4d49dd06",1,0,0,0,1,0,0,0,0,0,0,0
"3ba0f00c-3bd4-4756-b488-d1fcaaabc5c4","173dcb872759ee4b05745b23a2e7ae34",0,1,0,0,1,0,0,1,1,1,1,0
"b4e4aabd-76e4-4a38-a698-1e3087011d56","12bc8f52864c56c3dfbd8905a123f20c",0,0,0,1,0,0,0,0,1,1,0,0
"872f17ff-5dd8-4778-bf4a-ffd3e43aed9d","12bc8f52864c56c3dfbd8905a123f20c",0,0,0,0,0,0,0,1,0,0,1,0
"76960816-b2b4-4cbc-8d7e-8543286948a2","12bc8f52864c56c3dfbd8905a123f20c",0,0,0,1,0,0,0,0,0,0,0,0
"e78b4cba-d3e7-45a1-8ae0-d89ad27fb7b6","12bc8f52864c56c3dfbd8905a123f20c",1,0,0,0,0,0,0,0,1,0,0,1
"5d0795f4-945c-426d-bb2a-7cae96d8c949","12bc8f52864c56c3dfbd8905a123f20c",0,0,0,0,0,0,0,0,1,0,0,0
"5b25d21d-8238-4d78-8a27-6e6581528919","12bc8f52864c56c3dfbd8905a123f20c",0,0,0,0,1,0,0,0,0,0,0,0
"81599a56-3da4-43f1-945f-960462cd7a7b","2e714926004c88ebae4732420decc6ad",1,1,1,1,1,1,1,1,1,1,1,1
"c6d2428d-6a21-42e6-a6c1-a545c20b5e02","3f79451882db96a21d00211e6733ed69",0,0,0,0,0,0,0,1,0,0,1,0
"99d8eed4-bcb3-43fb-a836-a58c82191724","fac23943615c3724d0894d7c0fcbd59d",1,1,0,1,1,0,0,0,0,0,0,0
"c40ab17b-aabb-4f96-9c27-e720a5b1ebc5","99bb15d88bd10d920ac1935d4178f920",1,1,1,1,1,1,1,1,1,1,1,1
"b7514333-d231-4679-8e63-b157f552a420","d547544b4104adf9c8861778073e43bc",1,1,1,1,1,1,1,1,1,1,1,1
"d2224997-eb09-4d6f-ad8c-501702c8349e","3f79451882db96a21d00211e6733ed69",0,1,0,0,0,0,0,1,0,0,1,0
"f9d0eeca-12f8-4eba-8792-a77be4d9af71","7b7a5d99d4b5c147a536d7fba7923a3f",1,1,0,1,1,1,1,1,1,1,1,1
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",1,1,1,1,1,1,1,1,1,1,1,1
"1060be3c-c5e8-4d8f-8d80-3da4d21ec5c1","c15251cff68faccf4b27b37e8eb11447",0,0,0,1,0,0,0,1,1,1,0,1
"03d65280-cf0d-4bd4-bfe8-64f171a50a13","c15251cff68faccf4b27b37e8eb11447",0,0,0,0,0,0,0,0,1,0,0,0
"ec8080d2-463e-4e0a-8be4-95080ddd775a","572d1680512266ab142dd3e235069a1f",1,1,1,1,1,1,1,1,1,1,1,1
"abd44c22-82fd-495c-a375-8363add3029d","a22c2220c8033db07993626412442c21",0,0,0,0,0,0,0,1,1,1,1,0
"9d246480-ccca-426d-85be-8037fc3553dc","fe131476aa453d8177177dbc868e8265",1,1,0,1,1,0,1,1,1,1,0,0
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",1,1,0,1,1,0,1,1,1,1,1,0
"e31975a8-1058-4d3a-bc59-56b284f266f2","fe131476aa453d8177177dbc868e8265",0,0,0,0,0,0,0,0,1,0,0,0
"c9726901-0da6-4494-8c5b-044483bd8db8","6e6f9ef504adb0630093d8a5d719a011",0,0,0,0,0,1,0,0,0,0,1,0
"d2b19262-cab9-48f6-88e6-5895aef010a9","8f727e87f94104529913eb9891509597",0,0,0,0,0,0,0,1,0,0,0,0
